Day,Sleep,Work,Class,Debate,Voyager,Clubs,Internship,Competitions,Research,Recruiting,Blogging,Tutoring,FoShoTrans,Exercise,Reading,Social,Planning,Meditate,Media,Mood,
2/24/2021,7.25,9.5,3,1.25,0,0.75,0,0,2.5,0.5,1.5,0,2.25,1.25,0.75,2,0.75,0.25,0,7,24
2/25/2021,7.5,9.5,3.25,2.25,0.25,1,0,0,1.75,0,1,0,2.25,0.5,1.75,1,1.25,0.25,0,8,24
2/26/2021,7,7.5,0,3.5,0.5,0,0,0,0.25,0.5,1.75,1,2.75,0.75,1,3,1.25,0.25,0.5,5,24
2/27/2021,4.75,13.75,5.75,4,1.25,0.25,0,0,0,0,1.75,0.75,0.75,0.5,0.5,1,2,0.25,0.5,8,24
2/28/2021,4.25,5.5,2,0,2,0,0,0,0,0,0,1.5,7.5,0,3.5,5.5,0.75,0,0,5,27
3/1/2021,6.5,10.5,3.5,0.5,1.25,0,0,0,1.25,1.5,0.5,2,2.5,0.75,0.75,2.5,0.25,0.25,0,4,24
3/2/2021,7.75,8,2.5,2,0,0,1,0,0,1.5,0.25,0.75,1.5,0.25,0.25,4.75,1.25,0,0.25,3,24
3/3/2021,6.5,9.5,6.75,0,0.75,0,0,0,0.5,0.75,0.75,0,2.75,1,0.5,3,0.25,0.5,0,6,24
3/4/2021,7,5.5,1.5,1.5,0,0,0,0,0,2.5,0,0,2.25,0.25,1,5.25,1.75,0.5,0.5,4,24
3/5/2021,7,8.25,2.25,0.75,0,0,0,0,0,3.25,0,2,0.5,0.25,1.25,6.75,0,0,0,6,24
3/6/2021,6.25,8.5,3.5,0,3,0,0,0,0,1.5,0,0.5,1.75,0.5,1,5.25,0.5,0,0.25,8,24
3/7/2021,7.5,9,2.75,3.25,3,0,0,0,0,0,0,0,2,1.5,0.5,3.25,0.25,0,0,7,24
3/8/2021,6.25,9.5,3.75,1.5,0,1.5,0,0,1,0.5,0,1.25,1.25,1.75,0.5,3.25,0.5,0.25,0.75,9,24
3/9/2021,5.75,6.75,4,1.75,0,0,0,0,0,1,0,0,1.75,1.75,0.25,7,0.25,0.25,0.25,8,24
3/10/2021,6,8.5,3.75,0.75,3,0.75,0,0,0.25,0,0,0,2,1.75,0.75,4.5,0,0.5,0,6,24
3/11/2021,8.25,8.5,2.75,1.25,1.5,0.75,0,0,1.5,0,0.25,0.5,1.75,1.5,1,0,0.25,0.25,2.5,7,24
3/12/2021,8,9.25,4.25,1.75,2.25,0.5,0,0,0.5,0,0,0,2.25,0.5,0.5,2.25,0.25,0.25,0.75,5,24
3/13/2021,7.25,5.75,1.75,2.5,0,0,0,0.75,0,0,0.75,0,1.75,1.25,1.5,6,0,0.25,0.25,5,24
3/14/2021,7.75,11,1,4,2,0,0,0,3.75,0.25,0,0,1.25,0.5,0.5,1.5,0.25,0.25,0,8,23
3/15/2021,5.5,10,5.75,0.5,0,0,0,0,1,0.25,1.5,1,3,0.75,1.5,2.5,0.25,0.25,0.25,8,24
3/16/2021,6.5,10,4,2,0.75,1.75,0,0,0,1,0.5,0,0.25,0,1.25,3.5,0.5,0.25,1.75,8,24
3/17/2021,10,5.5,0.25,0,0,4,0,0,0,0,0,1.25,0,0,0.75,7.25,0.25,0.25,0,8,24
3/18/2021,7,10,2,2,3,1.75,0,0,0,1,0,0.25,0.5,0,2.75,3,0.5,0.25,0,8,24
3/19/2021,7.75,8.75,5.25,0.5,1,0,0,0,1,1,0,0,0.5,1,1,4.5,0.25,0.25,0,6,24
3/20/2021,8,2.5,0,0,1,0,0,0.5,0,0,0,1,0.5,1,2,8.5,0.75,0.25,0.5,4,24
3/21/2021,9,6,0.5,1.5,1.5,0,0,0,0,1.25,0,1.25,1.5,1.5,1.5,3.75,0.25,0.25,0.25,7,24
3/22/2021,6,8.25,0.75,1.5,0,0,0,0.75,2.5,0,2.75,0,0.5,0.5,5,0.75,2.25,0.5,0.25,7,24
3/23/2021,9.75,5.5,0,3.25,1.25,0,0,1,0,0,0,0,1.5,0.5,1.5,4,0.25,0.25,0.75,6,24
3/24/2021,6.25,7.75,0,0,3,0.25,0,2.25,0,1.25,1,0,1,1.25,3,3.75,0.25,0.25,0.5,8,24
3/25/2021,7.75,5.5,0,2,0.25,0,0.5,0,0,2,0.75,0,1,0.25,1.5,5.5,2.25,0.25,0,9,24
3/26/2021,9.5,8.75,0,0.5,3.5,1.5,0,0.5,0.75,2,0,0,2,0,1.5,1.5,0.5,0.25,0,7,24
3/27/2021,9.25,4.5,0.25,0,2.5,0.25,0.5,0,0,1,0,0,1.25,0,1.75,5.5,0.5,0.25,1,8,24
3/28/2021,8,5.25,0,2,1.5,0,1.75,0,0,0,0,0,2.75,0,2,5.25,0.25,0.25,0.25,7,24
3/29/2021,6.75,9.25,2.5,0.5,2,0.75,0,0,1.5,0,0,2,1.25,0.75,1.5,3,0.25,0.5,0.75,9,24
3/30/2021,7.75,8.75,3.5,0.75,3,0.75,0.5,0,0,0.25,0,0,2.5,0.5,0.5,3.25,0.25,0.5,0,9,24
3/31/2021,6.75,10.75,1.5,0,1,2,2.75,0.25,1.75,1.5,0,0,0.75,0.75,1.5,1.75,0.75,0.25,0.75,9,24
4/1/2021,8.25,9.25,2.25,0,0.75,1,0.25,0.5,3,0.5,0,1,0.25,0.75,2,1.75,0.75,0,1,7,
4/2/2021,9.5,4.5,0,0,0.75,1,1.75,0,1,0,0,0,1.25,0,1,5,1.75,0,1,5,
4/3/2021,8.25,8.25,1.75,1.75,0.5,0,0,0,0.25,0,4,0,1.75,0.5,1.75,2.75,0.25,0.25,0.25,6,
4/4/2021,6.75,8.5,1.25,2.75,1,0,0,0,0.25,1,2.25,0,1.25,0.25,1.75,3.75,1.25,0.25,0.25,5,
4/5/2021,7,8.75,3.5,1.25,0,0,0,0,1.5,1,1,0.5,1.25,0.5,1.5,4,0.25,0.25,0.5,8,
